Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-05-06,27463657361740.46,7097190278087.13,34560847639827.59,1,2024,3,2024,2,05,06
2024-05-03,27462531568558.89,7085674715847.52,34548206284406.41,1,2024,3,2024,2,05,03
2024-05-02,27462987329423.76,7100361488780.74,34563348818204.50,1,2024,3,2024,2,05,02
2024-05-01,27479892592950.49,7078393608553.75,34558286201504.24,1,2024,3,2024,2,05,01
2024-04-30,27480960216618.32,7136033799632.56,34616994016250.88,1,2024,3,2024,2,04,30
2024-04-29,27445183037521.17,7117577083996.89,34562760121518.06,1,2024,3,2024,2,04,29
2024-04-26,27444491423362.55,7113923533728.96,34558414957091.51,1,2024,3,2024,2,04,26
2024-04-25,27443681857808.67,7111287168059.44,34554969025868.11,1,2024,3,2024,2,04,25
2024-04-24,27461572886205.56,7110054235908.52,34571627122114.08,1,2024,3,2024,2,04,24
2024-04-23,27461262921654.41,7120619319098.66,34581882240753.07,1,2024,3,2024,2,04,23
2024-04-22,27486473714908.65,7105302639344.76,34591776354253.41,1,2024,3,2024,2,04,22
2024-04-19,27484861367243.35,7100666815532.11,34585528182775.46,1,2024,3,2024,2,04,19
2024-04-18,27485307938326.14,7097787027218.40,34583094965544.54,1,2024,3,2024,2,04,18
2024-04-17,27491018195859.82,7085470313069.10,34576488508928.92,1,2024,3,2024,2,04,17
2024-04-16,27491006854258.45,7099994476618.46,34591001330876.91,1,2024,3,2024,2,04,16
2024-04-15,27525652789136.96,7077550042873.79,34603202832010.75,1,2024,3,2024,2,04,15
2024-04-12,27509636671273.47,7043582954372.04,34553219625645.51,1,2024,3,2024,2,04,12
2024-04-11,27509726461018.85,7041110153612.83,34550836614631.68,1,2024,3,2024,2,04,11
2024-04-10,27524683546141.80,7036331970814.48,34561015516956.28,1,2024,3,2024,2,04,10
2024-04-09,27523837629266.01,7057172370278.52,34581009999544.53,1,2024,3,2024,2,04,09
2024-04-08,27559152334116.88,7049260226525.59,34608412560642.47,1,2024,3,2024,2,04,08
2024-04-05,27558067093863.29,7042576398721.81,34600643492585.10,1,2024,3,2024,2,04,05
2024-04-04,27557979891134.54,7040988643812.82,34598968534947.36,1,2024,3,2024,2,04,04
2024-04-03,27570738421546.27,7033599371339.04,34604337792885.31,1,2024,3,2024,2,04,03
2024-04-02,27571024016005.42,7051267854045.71,34622291870051.13,1,2024,3,2024,2,04,02
2024-04-01,27597003078569.01,7030198254495.09,34627201333064.10,1,2024,3,2024,2,04,01
2024-03-29,27511454993243.97,7075078486105.91,34586533479349.88,1,2024,2,2024,1,03,29
2024-03-28,27511740986475.77,7066868170703.55,34578609157179.32,1,2024,2,2024,1,03,28
2024-03-27,27503290057476.61,7069909488364.82,34573199545841.43,1,2024,2,2024,1,03,27
2024-03-26,27500757154307.80,7093631715867.86,34594388870175.66,1,2024,2,2024,1,03,26
2024-03-25,27512574463575.43,7085613527787.28,34598187991362.71,1,2024,2,2024,1,03,25
2024-03-22,27511504384092.25,7070616881941.32,34582121266033.57,1,2024,2,2024,1,03,22
2024-03-21,27511234577616.74,7066797643893.09,34578032221509.83,1,2024,2,2024,1,03,21
2024-03-20,27495310693451.23,7065862968742.96,34561173662194.19,1,2024,2,2024,1,03,20
2024-03-19,27495560223464.06,7086744301426.82,34582304524890.88,1,2024,2,2024,1,03,19
2024-03-18,27486890326230.45,7064472922609.44,34551363248839.89,1,2024,2,2024,1,03,18
2024-03-15,27486685431293.39,7056153065969.55,34542838497262.94,1,2024,2,2024,1,03,15
2024-03-14,27434194395974.08,7052025630311.87,34486220026285.95,1,2024,2,2024,1,03,14
2024-03-13,27424590793153.92,7051283950252.72,34475874743406.64,1,2024,2,2024,1,03,13
2024-03-12,27424259576638.32,7072944247261.90,34497203823900.22,1,2024,2,2024,1,03,12
2024-03-11,27411563369863.19,7059919295715.01,34471482665578.20,1,2024,2,2024,1,03,11
2024-03-08,27410398214937.37,7054660043964.07,34465058258901.44,1,2024,2,2024,1,03,08
2024-03-07,27409658010123.01,7051748549610.47,34461406559733.48,1,2024,2,2024,1,03,07
2024-03-06,27395073293225.10,7045758662531.44,34440831955756.54,1,2024,2,2024,1,03,06
2024-03-05,27394922018989.52,7044028048971.81,34438950067961.33,1,2024,2,2024,1,03,05
2024-03-04,27379505983815.03,7031386208537.02,34410892192352.05,1,2024,2,2024,1,03,04
2024-03-01,27378941449836.41,7014320949165.99,34393262399002.40,1,2024,2,2024,1,03,01
2024-02-29,27380289989183.77,7090793248927.98,34471083238111.75,1,2024,2,2024,1,02,29
2024-02-28,27290151250136.39,7091996957424.14,34382148207560.53,1,2024,2,2024,1,02,28
2024-02-27,27290138516220.85,7115061855089.50,34405200371310.35,1,2024,2,2024,1,02,27
2024-02-26,27270274003272.75,7106043048764.48,34376317052037.23,1,2024,2,2024,1,02,26
2024-02-23,27270277998967.49,7097920373931.67,34368198372899.16,1,2024,2,2024,1,02,23
2024-02-22,27242557270675.99,7089449355644.49,34332006626320.48,1,2024,2,2024,1,02,22
2024-02-21,27209148794470.33,7088619180868.87,34297767975339.20,1,2024,2,2024,1,02,21
2024-02-20,27208868737795.66,7096251893857.85,34305120631653.51,1,2024,2,2024,1,02,20
2024-02-16,27183667231435.16,7083563504673.22,34267230736108.38,1,2024,2,2024,1,02,16
2024-02-15,27184526004247.38,7081535008405.83,34266061012653.21,1,2024,2,2024,1,02,15
2024-02-14,27178010959199.55,7067304272552.47,34245315231752.02,1,2024,2,2024,1,02,14
2024-02-13,27177924667834.49,7091135826080.32,34269060493914.81,1,2024,2,2024,1,02,13
2024-02-12,27148944676868.26,7081838788515.02,34230783465383.28,1,2024,2,2024,1,02,12
2024-02-09,27149917447710.42,7078260848636.45,34228178296346.87,1,2024,2,2024,1,02,09
2024-02-08,27150016696468.02,7078682446985.32,34228699143453.34,1,2024,2,2024,1,02,08
2024-02-07,27125624577903.55,7071969914445.93,34197594492349.48,1,2024,2,2024,1,02,07
2024-02-06,27125821609881.79,7070743038173.98,34196564648055.77,1,2024,2,2024,1,02,06
2024-02-05,27095044263981.65,7058929865486.06,34153974129467.71,1,2024,2,2024,1,02,05
2024-02-02,27095216791114.36,7052130829072.51,34147347620186.87,1,2024,2,2024,1,02,02
2024-02-01,27096145994220.71,7058869635447.96,34155015629668.67,1,2024,2,2024,1,02,01
2024-01-31,27071861894841.00,7119288507552.64,34191150402393.64,1,2024,2,2024,1,01,31
2024-01-30,27058247867739.38,7114581473729.03,34172829341468.41,1,2024,2,2024,1,01,30
2024-01-29,27031268655335.78,7107203835974.24,34138472491310.02,1,2024,2,2024,1,01,29
2024-01-26,27031563517077.75,7103893544561.61,34135457061639.36,1,2024,2,2024,1,01,26
2024-01-25,27031896294653.96,7103634187637.92,34135530482291.88,1,2024,2,2024,1,01,25
2024-01-24,27002945955816.55,7085429121176.76,34088375076993.31,1,2024,2,2024,1,01,24
2024-01-23,27003770167433.26,7105608208310.77,34109378375744.03,1,2024,2,2024,1,01,23
2024-01-22,26985255075314.51,7091416642396.90,34076671717711.41,1,2024,2,2024,1,01,22
2024-01-19,26985839298705.00,7086502734234.15,34072342032939.15,1,2024,2,2024,1,01,19
2024-01-18,26986540939549.35,7083359192203.67,34069900131753.02,1,2024,2,2024,1,01,18
2024-01-17,26977279309230.03,7082884138400.40,34060163447630.43,1,2024,2,2024,1,01,17
2024-01-16,26977085934722.47,7084465647453.58,34061551582176.05,1,2024,2,2024,1,01,16
